IUS Spring 2025 Course schedule Undergraduate,,,,,,
Code,Course Code and Name,Day1,Day2,Venue 1,Venue 2,Important Notes
VA104.2,VA104.2 Language of Drawing II,Tue. 13:00-15:50,,A B.16 - VACD Drawing Studio,,
VA211.1,VA211.1 Digital Vector Graphics,Wed. 09:00-11:50,,B F1.24 (MAC Studio),,
VA211.2,VA211.2 Digital Vector Graphics,Fri. 09:00-11:50,,B F1.24 (MAC Studio),,
VA217.1,VA217.1 Graphic Design II,Tue. 15:00-17:50,,B F1.10 Class/ART Studio,,
VA217.2,VA217.2 Graphic Design II,Mon. 14:00-16:50,,B F1.10 Class/ART Studio,,
VA217.3,VA217.3 Graphic Design II,Wed. 15:00-17:50,,B F1.10 Class/ART Studio,,
VA304.1,VA304.1 Typography II,Thu. 15:00-17:50,,B F1.24 (MAC Studio),,
VA306.1,VA306.1 Digital Photo Imaging,Tue. 15:00-17:50,,B F1.25 Computer Lab,,
VA306.2,VA306.2 Digital Photo Imaging,Mon. 09:00-11:50,,B F1.25 Computer Lab,,
VA310.1,VA310.1 Advanced Drawing I,Tue. 09:00-11:50,,A B.16 - VACD Drawing Studio,,
VA312.1,VA312.1 Photography,Thu. 09:00-11:50,,A B.1 - VACD Multimedia Studio,,
VA312.2,VA312.2 Photography,Fri. 09:00-11:50,,A B.1 - VACD Multimedia Studio,,
VA314.1,VA314.1 Non-Linear Editing II,Thu. 12:00-14:50,,A F1.18 - Computer Lab,,
VA315.1,VA315.1 Compositing and Digital Effects II,Tue. 12:00-14:50,,B F1.24 (MAC Studio),,
VA323.1,VA323.1 Illustration Studio,Mon. 15:00-17:50,,B F1.24 (MAC Studio),,
VA323.1,VA323.1 Illustration Studio,Fri. 12:00-14:50,,B F1.24 (MAC Studio),,New section
VA324.1,VA324.1 History of Graphic Design,Fri. 15:00-17:50,,A F2.14 - Amphitheater II,,
VA334.1,VA334.1 Packaging Design,Fri. 09:00-11:50,,B F1.10 Class/ART Studio,,
VA341.1,VA341.1 Digital Desktop Publishing I,Wed. 09:00-11:50,,B F1.25 Computer Lab,,
VA406.1,VA406.1 User Experience Design (UX Design) I,Wed. 15:00-17:50,,B F1.24 (MAC Studio),,
VA416.1,VA416.1 Design Studio II,Mon. 09:00-11:50,,B F1.24 (MAC Studio),,
VA443.1,VA443.1 Information Graphic Design,Tue. 09:00-11:50,,B F1.24 (MAC Studio),,
VA451.1,VA451.1 Documentary Film Production,Mon. 12:00-14:50,,A B.1 - VACD Multimedia Studio,,
VA452.1,VA452.1 Show Reel Production,Thu. 09:00-11:50,,B F1.24 (MAC Studio),,
VA455.1,VA455.1 3D Design II,Wed. 12:00-14:50,,B F1.24 (MAC Studio),,
