IUS Spring 2025 Course schedule Undergraduate,,,,,,
Code,Course Code and Name,Day1,Day2,Venue 1,Venue 2,Important Notes
CS304.1,CS304.1 Computer Architecture,Mon. 09:00-11:50,,B F2.15 - Amphitheater II,,
CS306.1,CS306.1 Database Management,Tue. 12:00-14:50,,A F2.14 Amphitheater II,,
CS308.1,CS308.1 Software Engineering,Mon. 16:00-18:50,,A F2.14 - Amphitheater II,,
CS310.1,CS310.1 Human Computer Interaction,Wed. 12:00-14:50,,B F1.23 - Amphitheater I,,
CS314.1,CS314.1 Systems Programming,Wed. 12:00-14:50,,A F2.3,,
CS404.1,CS404.1 Artificial Intelligence,Fri. 09:00-11:50,,B F2.6,,
CS413.1,CS413.1 Developing the Interactive Web,Wed. 16:00-18:50,,B F1.25 Computer Lab,,
CS417.1,CS417.1 Introduction to Data Mining,Wed. 09:00-11:50,,B F1.16,,
CS427.1,CS427.1 Computer and Network Security,Mon. 12:00-14:50,,B F1.25 Computer Lab,,
CULT101.1,CULT101.1 Understanding Cultural Encounters,Tue. 09:00-10:50,,A F1.17,,
CULT101.2,CULT101.2 Understanding Cultural Encounters,Tue. 11:00-12:50,,A F1.17,,
ECON108.1,ECON108.1 Matlab,Thu. 13:00-14:50,,B F1.2 - Class/ECON Lab,,
ECON112.1,ECON112.1 Introduction to Macroeconomics,Mon. 12:00-14:50,,B F2.17,,
ECON112.2,ECON112.2 Introduction to Macroeconomics,Mon. 12:00-14:50,,B F2.4,,
ECON202.1,ECON202.1 Intermediate Macroeconomics,Wed. 15:00-17:50,,B F2.5,,
ECON202.2,ECON202.2 Intermediate Macroeconomics,Wed. 15:00-17:50,,B F2.2,,
ECON204.1,ECON204.1 International Political Economy,Thu. 09:00-11:50,,B F2.5,,
ECON221.1,ECON221.1 Business Statistics II,Tue. 13:00-15:50,,B F2.2,,
ECON221.2,ECON221.2 Business Statistics II,Tue. 13:00-15:50,,B F2.6,,
ECON311.1,ECON311.1 Special Topics in Economics,Thu. 12:00-14:50,,B F1.1,,
ECON320.1,ECON320.1 Public Economics,Tue. 09:00-11:50,,B F1.1,,
ECON404.1,ECON404.1 International Monetary System,Wed. 15:00-17:50,,B F2.16,,
ECON430.1,ECON430.1 Growth and Development,Thu. 15:00-17:50,,B F1.17,,
EDU102.1,EDU102.1 Introduction to Pedagogy,Tue. 12:00-14:50,,B F2.16,,
EDU103.1,EDU103.1 Introduction to Foreign Language Pedagogy,Tue. 12:00-14:50,,B F2.16,,
EDU323.1,EDU323.1 Didactics,Mon. 15:00-17:50,,B F2.16,,
EE301.1,EE301.1 Analog Electronics II,Thu. 17:00-19:50,,A F2.13,,
EE305.1,EE305.1 Instrumentation and Measurements,Tue. 09:00-11:50,,B F2.14,,
EE321.1,EE321.1 Electrical Machines,Tue. 13:00-15:50,,A F1.4 Computer Lab,,
EE325.1,EE325.1 Embedded Systems,Wed. 09:00-11:50,,B F1.23 - Amphitheater I,,
EE422.1,EE422.1 Power Electronics,Tue. 09:00-11:50,,B F2.4,,
EE429.1,EE429.1 Digital Power Systems Protection,Mon. 15:00-17:50,,A F1.25,,
